source_file,drive_link,context
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1xZCSbKJdZvZiMNlMO-qdegTUfw53WeSY/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1fEtFJlDT9kjhMTzf-pj2X8CaLsJ1alXU/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1mQamYYP3xTNzLKr-l-Gm5Ui1wkVHgJNB/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1B80ZAVTVdX1kHKq7XSbr0sSX4Z_adIV7/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1qiLxg4dYLcQ5x_GIA7SCy14REssM7KB_/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1kmrYlp4v9PAUZrTGkapvls6hlQsJQ_QU/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1E_EBOIZnUw-yNpY4sUCpGAjQobHBNgAG/view?usp=sharing","২। | বাংলা সহপাঠ"
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1CaZzniK1XcsyTI3dyL9lzWYSBHGd6PNZ/view?usp=sharing","৩। | বাংলা ভাষার ব্যকরণ"
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/16oscA0tsdcMPgs8BLckD8glQAnwl_Fws/view?usp=sharing","৫। | গণিত"
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/16ptR4cXSQOBSbcDdMZdJLd-9LJDTEj-3/view?usp=sharing","৬। | চারু ও কারুকলা"
"2017\২০১৭ শিক্ষাবর্ষের নবম ও দশম শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1yM4ACSpgIZIbQLbDERgRSSlNwp4jkWE6/view?usp=sharing","৭। | তথ্য ও যোগাযোগ প্রযুক্তি"
